delta_y,velocity,frame,velocity_rolling_mean,delta_velocity
-5,-5,475,2,-1.0
-11,-11,476,-1,-3.0
-14,-15,477,-5,-4.0
-11,-11,478,-7,-2.0
-5,-5,479,-9,-2.0
-10,-10,480,-10,-1.0
-6,-7,481,-10,0.0
-4,-5,482,-8,2.0
-5,-6,483,-7,1.0
-3,-4,484,-6,1.0
3,13,485,-2,4.0
4,8,486,1,3.0
6,9,487,4,3.0
7,11,488,7,3.0
17,20,489,12,5.0
15,18,490,13,1.0
12,13,491,14,1.0
7,7,492,14,0.0
18,20,493,16,2.0
19,20,494,16,0.0
51,52,495,22,6.0
47,48,496,29,7.0
45,46,497,37,8.0
41,42,498,42,5.0
37,38,499,45,3.0
33,33,500,41,-4.0
28,28,501,37,-4.0
21,21,502,32,-5.0
12,12,503,26,-6.0
5,9,504,21,-5.0
2,6,505,15,-6.0
3,5,506,11,-4.0
9,13,507,9,-2.0
17,19,508,10,1.0
15,17,509,12,2.0
11,12,510,13,1.0
7,7,511,14,1.0
23,24,512,16,2.0
22,23,513,17,1.0
24,25,514,18,1.0
40,41,515,24,6.0
20,20,516,27,3.0
-104,-111,517,0,-27.0
-56,-60,518,-17,-17.0
-53,-57,519,-33,-16.0
-61,-66,520,-55,-22.0
-44,-48,521,-68,-13.0
-44,-48,522,-56,12.0
-37,-42,523,-52,4.0
-32,-37,524,-48,4.0
-27,-31,525,-41,7.0
-21,-24,526,-36,5.0
-11,-13,527,-29,7.0
-15,-18,528,-25,4.0
-12,-17,529,-21,4.0
-11,-15,530,-17,4.0
-9,-13,531,-15,2.0
-6,-11,532,-15,0.0
-5,-8,533,-13,2.0
-4,-8,534,-11,2.0
0,9,535,-6,5.0
-1,-7,536,-5,1.0
0,7,537,-1,4.0
2,9,538,2,3.0
1,5,539,5,3.0
4,6,540,4,-1.0
5,9,541,7,3.0
4,7,542,7,0.0
-13,-13,543,3,-4.0
-14,-14,544,-1,-4.0
-21,-21,545,-6,-5.0
-10,-10,546,-10,-4.0
-10,-10,547,-14,-4.0
-12,-13,548,-14,0.0
-9,-9,549,-13,1.0
-7,-7,550,-10,3.0
-4,-5,551,-9,1.0
1,5,552,-6,3.0
4,11,553,-1,5.0
7,15,554,4,5.0
10,14,555,8,4.0
12,18,556,13,5.0
11,14,557,14,1.0
21,29,558,18,4.0
12,15,559,18,0.0
17,22,560,20,2.0
24,27,561,21,1.0
42,48,562,28,7.0
38,43,563,31,3.0
32,36,564,35,4.0
25,29,565,37,2.0
14,15,566,34,-3.0
37,41,567,33,-1.0
49,54,568,35,2.0
59,65,569,41,6.0
33,36,570,42,1.0
231,345,571,108,66.0
-4,-19,572,96,-12.0
-128,-238,573,38,-58.0
-69,-129,574,-1,-39.0
8,20,575,-4,-3.0
12,23,576,-69,-65.0
15,25,577,-60,9.0
17,26,578,-7,53.0
23,33,579,25,32.0
22,32,580,28,3.0
40,50,581,33,5.0
22,27,582,34,1.0
64,76,583,44,10.0
49,59,584,49,5.0
28,32,585,49,0.0
35,42,586,47,-2.0
0,0,587,42,-5.0
0,0,588,27,-15.0
0,0,589,15,-12.0
0,0,590,8,-7.0
