frame,near_player_position,far_player_position
173,"{1: [1081, 666, 1208, 904]}","{2: [818, 154, 855, 268]}"
174,"{1: [1087, 664, 1226, 902]}","{2: [823, 154, 861, 268]}"
175,"{1: [1092, 664, 1221, 899]}","{2: [826, 154, 873, 268]}"
176,"{1: [1099, 664, 1215, 895]}","{2: [830, 154, 885, 268]}"
177,"{1: [1110, 666, 1231, 889]}","{2: [834, 154, 896, 268]}"
178,"{1: [1122, 666, 1252, 884]}","{2: [838, 157, 907, 271]}"
179,"{1: [1135, 668, 1270, 881]}","{2: [842, 160, 915, 272]}"
180,"{1: [1145, 669, 1287, 878]}","{2: [846, 163, 920, 272]}"
181,"{1: [1147, 672, 1298, 876]}","{2: [847, 167, 923, 272]}"
182,"{1: [1143, 674, 1305, 876]}","{2: [848, 170, 924, 272]}"
183,"{1: [1139, 675, 1308, 876]}","{2: [849, 172, 925, 272]}"
184,"{1: [1139, 676, 1307, 877]}","{2: [849, 171, 925, 272]}"
185,"{1: [1140, 677, 1308, 880]}","{2: [847, 169, 923, 272]}"
186,"{1: [1144, 676, 1308, 886]}","{2: [843, 167, 920, 272]}"
187,"{1: [1144, 674, 1307, 891]}","{2: [839, 165, 914, 272]}"
188,"{1: [1142, 672, 1302, 893]}","{2: [836, 164, 905, 272]}"
189,"{1: [1139, 668, 1294, 893]}","{2: [831, 163, 896, 273]}"
190,"{1: [1136, 664, 1282, 894]}","{2: [827, 163, 889, 274]}"
191,"{1: [1133, 661, 1266, 894]}","{2: [822, 165, 886, 275]}"
192,"{1: [1131, 658, 1247, 894]}","{2: [820, 166, 885, 275]}"
193,"{1: [1128, 657, 1225, 894]}","{2: [814, 168, 884, 275]}"
194,"{1: [1124, 657, 1208, 896]}","{2: [809, 169, 884, 275]}"
195,"{1: [1115, 660, 1202, 902]}","{2: [803, 170, 884, 275]}"
196,"{1: [1102, 664, 1198, 909]}","{2: [798, 172, 884, 275]}"
197,"{1: [1082, 669, 1194, 918]}","{2: [796, 172, 884, 276]}"
198,"{1: [1066, 672, 1191, 926]}","{2: [797, 172, 883, 276]}"
199,"{1: [1059, 675, 1187, 930]}","{2: [800, 172, 882, 276]}"
200,"{1: [1056, 676, 1183, 934]}","{2: [802, 171, 881, 276]}"
201,"{1: [1055, 676, 1179, 935]}","{2: [802, 168, 879, 276]}"
202,"{1: [1054, 675, 1177, 935]}","{2: [796, 166, 877, 276]}"
203,"{1: [1054, 674, 1179, 935]}","{2: [791, 164, 872, 276]}"
204,"{1: [1055, 674, 1182, 934]}","{2: [791, 163, 865, 276]}"
205,"{1: [1051, 677, 1186, 936]}","{2: [792, 163, 858, 276]}"
206,"{1: [1046, 681, 1191, 939]}","{2: [787, 163, 856, 277]}"
207,"{1: [1040, 687, 1196, 946]}","{2: [783, 162, 856, 277]}"
208,"{1: [1037, 694, 1201, 952]}","{2: [780, 163, 855, 278]}"
209,"{1: [1035, 704, 1208, 960]}","{2: [777, 166, 855, 278]}"
