frame_number,near_player_original_box,near_player_reference_point,near_player_action,near_player_net_clearance,far_player_original_box,far_player_reference_point,far_player_action,far_player_net_clearance,ball_original_box,ball_reference_point,ball_height,ball_horizontal_velocity,ball_vertical_velocity,ball_action
115,"[474, 643, 570, 877]","(117, 735)",0,0.0,"[1050, 163, 1097, 284]","(249, 72)",0,0.0,"[669, 716, 688, 738]","(139, 703)",0.62,8.17,0.54,4
116,"[473, 638, 570, 875]","(117, 734)",0,0.0,"[1042, 161, 1092, 282]","(247, 67)",0,0.0,"[656, 722, 684, 749]","(137, 711)",0.62,8.11,0.15,4
117,"[466, 634, 584, 873]","(117, 733)",1,0.98,"[1033, 162, 1088, 280]","(244, 63)",0,0.0,"[650, 739, 666, 756]","(135, 720)",0.69,36.99,2.82,2
118,"[459, 630, 582, 868]","(116, 730)",0,0.0,"[1024, 162, 1084, 279]","(241, 60)",0,0.0,"[661, 652, 688, 680]","(134, 682)",0.79,35.82,2.42,4
119,"[456, 627, 575, 866]","(115, 729)",0,0.0,"[1016, 164, 1081, 278]","(239, 58)",0,0.0,"[679, 593, 701, 617]","(134, 646)",0.87,34.72,2.02,4
120,"[451, 626, 566, 863]","(113, 728)",0,0.0,"[1008, 167, 1078, 276]","(237, 53)",0,0.0,"[697, 537, 715, 556]","(134, 611)",0.93,33.69,1.63,4
121,"[446, 626, 558, 861]","(112, 727)",0,0.0,"[1001, 171, 1077, 274]","(236, 48)",0,0.0,"[707, 484, 733, 510]","(134, 577)",0.98,32.72,1.23,4
122,"[445, 628, 555, 857]","(111, 725)",0,0.0,"[997, 176, 1076, 274]","(234, 48)",0,0.0,"[717, 448, 741, 473]","(134, 543)",1.02,31.8,0.84,4
123,"[444, 629, 564, 854]","(112, 723)",0,0.0,"[996, 181, 1076, 273]","(234, 45)",0,0.0,"[727, 415, 751, 440]","(134, 511)",1.03,30.93,0.45,4
124,"[444, 630, 573, 851]","(112, 721)",0,0.0,"[995, 185, 1075, 273]","(234, 45)",0,0.0,"[735, 385, 759, 410]","(134, 480)",1.04,30.11,0.06,4
125,"[444, 633, 575, 849]","(112, 720)",0,0.0,"[994, 186, 1076, 273]","(234, 45)",0,0.0,"[743, 363, 765, 387]","(134, 449)",1.02,29.33,-0.34,4
126,"[444, 635, 577, 848]","(112, 720)",0,0.0,"[989, 186, 1077, 273]","(233, 45)",0,0.0,"[752, 345, 767, 363]","(134, 420)",0.99,28.59,-0.73,4
127,"[444, 637, 576, 848]","(112, 720)",0,0.0,"[981, 184, 1076, 274]","(231, 48)",0,0.0,"[753, 330, 776, 354]","(134, 391)",0.95,27.89,-1.12,4
128,"[445, 636, 571, 848]","(112, 720)",0,0.0,"[971, 182, 1073, 274]","(228, 48)",0,0.0,"[759, 318, 781, 340]","(134, 362)",0.89,27.22,-1.51,4
129,"[445, 634, 576, 844]","(112, 718)",0,0.0,"[963, 180, 1064, 274]","(225, 48)",0,0.0,"[759, 308, 783, 333]","(134, 335)",0.81,26.58,-1.9,4
130,"[451, 632, 585, 842]","(114, 717)",0,0.0,"[953, 179, 1050, 274]","(219, 48)",0,0.0,"[765, 307, 784, 327]","(134, 308)",0.72,25.97,-2.29,4
131,"[464, 630, 602, 847]","(117, 719)",0,0.0,"[942, 177, 1031, 274]","(213, 48)",0,0.0,"[770, 306, 785, 323]","(134, 281)",0.61,25.39,-2.68,4
132,"[482, 629, 626, 850]","(121, 721)",0,0.0,"[933, 175, 1015, 273]","(208, 46)",0,0.0,"[772, 305, 786, 321]","(134, 255)",0.49,24.83,-3.06,4
133,"[510, 629, 645, 853]","(126, 723)",0,0.0,"[923, 173, 1008, 274]","(204, 48)",0,0.0,"[773, 305, 787, 320]","(134, 230)",0.35,24.3,-3.45,4
134,"[534, 628, 662, 850]","(130, 721)",0,0.0,"[914, 173, 1000, 274]","(201, 48)",0,0.0,"[772, 305, 788, 322]","(134, 205)",0.2,23.79,-3.83,4
135,"[546, 627, 673, 852]","(132, 722)",0,0.0,"[904, 172, 990, 274]","(197, 49)",0,0.0,"[774, 307, 791, 325]","(134, 181)",0.03,23.3,-4.21,4
136,"[562, 627, 681, 857]","(135, 725)",0,0.0,"[895, 172, 973, 274]","(191, 49)",0,0.0,"[773, 309, 796, 333]","(134, 158)",0.0,13.32,4.04,3
137,"[590, 629, 687, 860]","(138, 726)",0,0.0,"[884, 171, 954, 274]","(185, 49)",0,0.0,"[775, 306, 794, 326]","(132, 144)",0.15,13.17,3.63,4
138,"[606, 632, 695, 862]","(140, 727)",0,0.0,"[873, 171, 940, 274]","(179, 49)",0,0.0,"[773, 280, 796, 305]","(130, 131)",0.27,13.01,3.23,4
139,"[613, 634, 709, 862]","(142, 727)",0,0.0,"[865, 170, 934, 274]","(176, 49)",0,0.0,"[773, 261, 800, 290]","(129, 117)",0.39,12.87,2.83,4
140,"[615, 635, 734, 864]","(145, 728)",0,0.0,"[853, 169, 932, 273]","(173, 46)",0,0.0,"[778, 251, 798, 270]","(127, 104)",0.48,12.72,2.43,4
141,"[616, 635, 759, 865]","(148, 729)",0,0.0,"[846, 167, 929, 273]","(171, 47)",0,0.0,"[774, 227, 805, 263]","(126, 91)",0.57,12.58,2.03,4
142,"[619, 635, 770, 866]","(149, 729)",0,0.0,"[839, 164, 925, 273]","(169, 47)",0,0.0,"[778, 221, 805, 247]","(124, 79)",0.63,12.44,1.64,4
143,"[635, 632, 781, 871]","(152, 732)",0,0.0,"[836, 163, 915, 271]","(166, 42)",0,0.0,"[777, 209, 803, 235]","(123, 66)",0.68,12.31,1.24,4
