single_centre_point,clean_centre_point,complete_centre_point,velocity_vector,velocity,velocity_delta,frame
"(781, 237)","(781, 237)","(781, 237)",-13,13,3.0,201
,,"(775, 226)",-12,12,1.0,202
"(772, 219)","(772, 219)","(772, 219)",-7,7,5.0,203
"(772, 214)","(772, 214)","(772, 214)",-5,5,2.0,204
"(781, 219)","(781, 219)","(781, 219)",10,10,15.0,205
,,"(795, 233)",19,19,9.0,206
,,"(810, 247)",20,20,1.0,207
,,"(824, 261)",19,19,-1.0,208
,,"(837, 274)",18,18,-1.0,209
,,"(849, 286)",16,16,-2.0,210
,,"(860, 297)",15,15,-1.0,211
"(870, 306)","(870, 306)","(870, 306)",13,13,-2.0,212
"(884, 323)","(884, 323)","(884, 323)",22,22,9.0,213
"(900, 344)","(900, 344)","(900, 344)",26,26,4.0,214
"(913, 366)","(913, 366)","(913, 366)",25,25,-1.0,215
,,"(930, 402)",39,39,14.0,216
,,"(947, 438)",39,39,0.0,217
,,"(962, 471)",36,36,-3.0,218
,,"(976, 500)",32,32,-4.0,219
"(988, 524)","(988, 524)","(988, 524)",26,26,-6.0,220
"(1005, 563)","(1005, 563)","(1005, 563)",42,42,16.0,221
"(1020, 606)","(1020, 606)","(1020, 606)",45,45,3.0,222
"(1037, 640)","(1037, 640)","(1037, 640)",38,38,-7.0,223
"(1054, 640)","(1054, 640)","(1054, 640)",17,17,-21.0,224
"(1069, 642)","(1069, 642)","(1069, 642)",15,15,-2.0,225
"(1082, 646)","(1082, 646)","(1082, 646)",13,13,-2.0,226
"(1098, 655)","(1098, 655)","(1098, 655)",18,18,5.0,227
"(1115, 665)","(1115, 665)","(1115, 665)",19,19,1.0,228
"(1130, 677)","(1130, 677)","(1130, 677)",19,19,0.0,229
"(1147, 691)","(1147, 691)","(1147, 691)",22,22,3.0,230
"(1164, 709)","(1164, 709)","(1164, 709)",24,24,2.0,231
"(1178, 730)","(1178, 730)","(1178, 730)",25,25,1.0,232
"(1201, 757)","(1201, 757)","(1201, 757)",35,35,10.0,233
,,"(1206, 764)",8,8,-27.0,234
"(1212, 770)","(1212, 770)","(1212, 770)",8,8,0.0,235
"(1025, 716)",,"(1164, 686)",-96,96,-104.0,236
"(1120, 607)",,"(1121, 611)",-86,86,10.0,237
"(1088, 553)","(1088, 553)","(1088, 553)",-66,66,20.0,238
"(1057, 504)","(1057, 504)","(1057, 504)",-57,57,9.0,239
,,"(1033, 473)",-39,39,18.0,240
,,"(1010, 444)",-37,37,2.0,241
,,"(988, 417)",-34,34,3.0,242
,,"(968, 391)",-32,32,2.0,243
,,"(950, 368)",-29,29,3.0,244
"(936, 351)","(936, 351)","(936, 351)",-22,22,7.0,245
"(918, 338)","(918, 338)","(918, 338)",-22,22,0.0,246
"(908, 329)","(908, 329)","(908, 329)",-13,13,9.0,247
"(892, 322)","(892, 322)","(892, 322)",-17,17,-4.0,248
"(881, 317)","(881, 317)","(881, 317)",-12,12,5.0,249
"(870, 316)","(870, 316)","(870, 316)",-11,11,1.0,250
"(859, 314)","(859, 314)","(859, 314)",-11,11,0.0,251
"(849, 315)","(849, 315)","(849, 315)",10,10,21.0,252
"(842, 316)","(842, 316)","(842, 316)",7,7,-3.0,253
"(833, 318)","(833, 318)","(833, 318)",9,9,2.0,254
"(825, 320)","(825, 320)","(825, 320)",8,8,-1.0,255
"(817, 318)","(817, 318)","(817, 318)",-8,8,-16.0,256
,,"(810, 299)",-20,20,-12.0,257
,,"(804, 281)",-18,18,2.0,258
,,"(798, 266)",-16,16,2.0,259
"(795, 254)","(795, 254)","(795, 254)",-12,12,4.0,260
"(792, 241)","(792, 241)","(792, 241)",-13,13,-1.0,261
"(786, 233)","(786, 233)","(786, 233)",-10,10,3.0,262
"(782, 223)","(782, 223)","(782, 223)",-10,10,0.0,263
"(782, 220)","(782, 220)","(782, 220)",-3,3,7.0,264
,,"(792, 232)",15,15,18.0,265
,,"(802, 245)",16,16,1.0,266
,,"(812, 257)",15,15,-1.0,267
,,"(822, 269)",15,15,0.0,268
,,"(831, 280)",14,14,-1.0,269
,,"(840, 290)",13,13,-1.0,270
,,"(847, 300)",12,12,-1.0,271
"(854, 308)","(854, 308)","(854, 308)",10,10,-2.0,272
"(865, 327)","(865, 327)","(865, 327)",21,21,11.0,273
"(873, 349)","(873, 349)","(873, 349)",23,23,2.0,274
"(884, 371)","(884, 371)","(884, 371)",24,24,1.0,275
,,"(896, 407)",37,37,13.0,276
,,"(909, 441)",36,36,-1.0,277
,,"(920, 471)",31,31,-5.0,278
"(930, 495)","(930, 495)","(930, 495)",26,26,-5.0,279
"(937, 525)","(937, 525)","(937, 525)",30,30,4.0,280
,,"(950, 557)",34,34,4.0,281
,,"(962, 588)",33,33,-1.0,282
,,"(974, 616)",30,30,-3.0,283
"(983, 638)","(983, 638)","(983, 638)",23,23,-7.0,284
"(992, 643)","(992, 643)","(992, 643)",10,10,-13.0,285
"(1004, 646)","(1004, 646)","(1004, 646)",12,12,2.0,286
"(1013, 657)","(1013, 657)","(1013, 657)",14,14,2.0,287
"(1026, 667)","(1026, 667)","(1026, 667)",16,16,2.0,288
"(1035, 681)","(1035, 681)","(1035, 681)",16,16,0.0,289
"(1047, 697)","(1047, 697)","(1047, 697)",20,20,4.0,290
"(1059, 717)","(1059, 717)","(1059, 717)",23,23,3.0,291
"(1072, 741)","(1072, 741)","(1072, 741)",27,27,4.0,292
"(1083, 765)","(1083, 765)","(1083, 765)",26,26,-1.0,293
"(1098, 796)","(1098, 796)","(1098, 796)",34,34,8.0,294
,,"(1109, 757)",-40,40,-74.0,295
"(1119, 728)","(1119, 728)","(1119, 728)",-30,30,10.0,296
"(1128, 665)","(1128, 665)","(1128, 665)",-63,63,-33.0,297
"(1132, 601)","(1132, 601)","(1132, 601)",-64,64,-1.0,298
"(1139, 543)","(1139, 543)","(1139, 543)",-58,58,6.0,299
"(1142, 503)","(1142, 503)","(1142, 503)",-40,40,18.0,300
,,"(1146, 467)",-36,36,4.0,301
,,"(1150, 433)",-34,34,2.0,302
,,"(1153, 403)",-30,30,4.0,303
"(1157, 380)","(1157, 380)","(1157, 380)",-23,23,7.0,304
"(1160, 363)","(1160, 363)","(1160, 363)",-17,17,6.0,305
"(1163, 346)","(1163, 346)","(1163, 346)",-17,17,0.0,306
"(1163, 336)","(1163, 336)","(1163, 336)",-10,10,7.0,307
"(1166, 326)","(1166, 326)","(1166, 326)",-10,10,0.0,308
"(1167, 318)","(1167, 318)","(1167, 318)",-8,8,2.0,309
"(1168, 314)","(1168, 314)","(1168, 314)",-4,4,4.0,310
"(1171, 311)","(1171, 311)","(1171, 311)",-4,4,0.0,311
"(1174, 311)","(1174, 311)","(1174, 311)",3,3,7.0,312
"(1174, 311)","(1174, 311)","(1174, 311)",0,0,-3.0,313
"(1175, 312)","(1175, 312)","(1175, 312)",1,1,1.0,314
"(1175, 315)","(1175, 315)","(1175, 315)",3,3,2.0,315
"(1176, 320)","(1176, 320)","(1176, 320)",5,5,2.0,316
"(1176, 326)","(1176, 326)","(1176, 326)",6,6,1.0,317
"(1178, 329)","(1178, 329)","(1178, 329)",3,3,-3.0,318
"(1178, 311)","(1178, 311)","(1178, 311)",-18,18,-21.0,319
,,"(1178, 292)",-19,19,-1.0,320
"(1179, 278)","(1179, 278)","(1179, 278)",-14,14,5.0,321
"(1178, 262)","(1178, 262)","(1178, 262)",-16,16,-2.0,322
"(1178, 252)","(1178, 252)","(1178, 252)",-10,10,6.0,323
"(1179, 240)","(1179, 240)","(1179, 240)",-12,12,-2.0,324
,,"(1178, 229)",-11,11,1.0,325
"(1179, 222)","(1179, 222)","(1179, 222)",-7,7,4.0,326
"(1179, 216)","(1179, 216)","(1179, 216)",-6,6,1.0,327
"(857, 740)",,"(1166, 219)",13,13,19.0,328
,,"(1155, 223)",11,11,-2.0,329
,,"(1144, 226)",11,11,0.0,330
,,"(1134, 229)",10,10,-1.0,331
,,"(1124, 232)",10,10,0.0,332
"(1118, 235)","(1118, 235)","(1118, 235)",6,6,-4.0,333
"(1104, 245)","(1104, 245)","(1104, 245)",17,17,11.0,334
"(1085, 259)","(1085, 259)","(1085, 259)",23,23,6.0,335
"(1068, 269)","(1068, 269)","(1068, 269)",19,19,-4.0,336
"(1054, 282)","(1054, 282)","(1054, 282)",19,19,0.0,337
,,"(1031, 303)",31,31,12.0,338
"(1015, 320)","(1015, 320)","(1015, 320)",23,23,-8.0,339
"(996, 339)","(996, 339)","(996, 339)",26,26,3.0,340
"(982, 356)","(982, 356)","(982, 356)",22,22,-4.0,341
,,"(956, 389)",42,42,20.0,342
,,"(932, 421)",40,40,-2.0,343
,,"(910, 451)",37,37,-3.0,344
,,"(890, 478)",33,33,-4.0,345
"(875, 500)","(875, 500)","(875, 500)",26,26,-7.0,346
"(851, 534)","(851, 534)","(851, 534)",41,41,15.0,347
"(829, 571)","(829, 571)","(829, 571)",43,43,2.0,348
"(808, 600)","(808, 600)","(808, 600)",35,35,-8.0,349
"(790, 602)","(790, 602)","(790, 602)",18,18,-17.0,350
"(770, 606)","(770, 606)","(770, 606)",20,20,2.0,351
"(749, 610)","(749, 610)","(749, 610)",21,21,1.0,352
"(732, 618)","(732, 618)","(732, 618)",18,18,-3.0,353
,,"(706, 631)",29,29,11.0,354
"(687, 643)","(687, 643)","(687, 643)",22,22,-7.0,355
"(666, 656)","(666, 656)","(666, 656)",24,24,2.0,356
"(645, 671)","(645, 671)","(645, 671)",25,25,1.0,357
"(622, 690)","(622, 690)","(622, 690)",29,29,4.0,358
,,"(596, 718)",38,38,9.0,359
,,"(572, 746)",36,36,-2.0,360
,,"(550, 772)",34,34,-2.0,361
,,"(530, 795)",30,30,-4.0,362
"(515, 813)","(515, 813)","(515, 813)",23,23,-7.0,363
,,"(575, 750)",-87,87,-110.0,364
"(622, 702)","(622, 702)","(622, 702)",-67,67,20.0,365
"(661, 662)","(661, 662)","(661, 662)",-55,55,12.0,366
"(707, 614)","(707, 614)","(707, 614)",-66,66,-11.0,367
"(735, 586)","(735, 586)","(735, 586)",-39,39,27.0,368
"(768, 551)","(768, 551)","(768, 551)",-48,48,-9.0,369
"(797, 525)","(797, 525)","(797, 525)",-38,38,10.0,370
"(824, 499)","(824, 499)","(824, 499)",-37,37,1.0,371
,,"(845, 482)",-27,27,10.0,372
,,"(867, 465)",-27,27,0.0,373
,,"(888, 449)",-26,26,1.0,374
,,"(908, 434)",-25,25,1.0,375
,,"(927, 419)",-24,24,1.0,376
,,"(946, 404)",-24,24,0.0,377
,,"(964, 390)",-22,22,2.0,378
,,"(981, 378)",-20,20,2.0,379
,,"(996, 366)",-19,19,1.0,380
"(1008, 358)","(1008, 358)","(1008, 358)",-14,14,5.0,381
"(1021, 354)","(1021, 354)","(1021, 354)",-13,13,1.0,382
"(1032, 350)","(1032, 350)","(1032, 350)",-11,11,2.0,383
"(1040, 346)","(1040, 346)","(1040, 346)",-8,8,3.0,384
"(1050, 345)","(1050, 345)","(1050, 345)",-10,10,-2.0,385
"(1059, 344)","(1059, 344)","(1059, 344)",-9,9,1.0,386
"(1068, 343)","(1068, 343)","(1068, 343)",-9,9,0.0,387
"(1079, 343)","(1079, 343)","(1079, 343)",11,11,20.0,388
"(1085, 345)","(1085, 345)","(1085, 345)",6,6,-5.0,389
"(1093, 347)","(1093, 347)","(1093, 347)",8,8,2.0,390
"(1100, 350)","(1100, 350)","(1100, 350)",7,7,-1.0,391
"(1105, 340)","(1105, 340)","(1105, 340)",-11,11,-18.0,392
"(1108, 330)","(1108, 330)","(1108, 330)",-10,10,1.0,393
"(1112, 318)","(1112, 318)","(1112, 318)",-12,12,-2.0,394
"(1116, 309)","(1116, 309)","(1116, 309)",-9,9,3.0,395
,,"(1087, 349)",49,49,58.0,396
,,"(1059, 388)",48,48,-1.0,397
,,"(1032, 427)",47,47,-1.0,398
,,"(1005, 465)",46,46,-1.0,399
,,"(979, 503)",46,46,0.0,400
"(783, 716)",,"(954, 539)",43,43,-3.0,401
