frame,multi_ball_position,single_ball_position,clean_ball_position,complete_ball_position,centre_point,x,y,x_diff,y_diff,velocity
374,{},{},{},"{1: [877.0, 438.0, 899.0, 461.0]}","(888, 449)",888,449,21,-16,26.4
375,{},{},{},"{1: [897.0, 423.0, 919.0, 445.0]}","(908, 434)",908,434,20,-15,25.0
376,{},{},{},"{1: [916.0, 408.0, 938.0, 430.0]}","(927, 419)",927,419,19,-15,24.21
377,{},{},{},"{1: [935.0, 393.0, 957.0, 416.0]}","(946, 404)",946,404,19,-15,24.21
378,{},{},{},"{1: [953.0, 379.0, 975.0, 402.0]}","(964, 390)",964,390,18,-14,22.8
379,{},{},{},"{1: [970.0, 367.0, 992.0, 389.0]}","(981, 378)",981,378,17,-12,20.81
380,{},{},{},"{1: [985.0, 355.0, 1007.0, 378.0]}","(996, 366)",996,366,15,-12,19.21
381,"{1: [995, 345, 1022, 371]}","{1: [995, 345, 1022, 371]}","{1: [995, 345, 1022, 371]}","{1: [995.0, 345.0, 1022.0, 371.0]}","(1008, 358)",1008,358,12,-8,14.42
382,"{1: [1014, 346, 1028, 363]}","{1: [1014, 346, 1028, 363]}","{1: [1014, 346, 1028, 363]}","{1: [1014.0, 346.0, 1028.0, 363.0]}","(1021, 354)",1021,354,13,-4,13.6
383,"{1: [1019, 338, 1045, 363]}","{1: [1019, 338, 1045, 363]}","{1: [1019, 338, 1045, 363]}","{1: [1019.0, 338.0, 1045.0, 363.0]}","(1032, 350)",1032,350,11,-4,11.7
384,"{1: [1028, 334, 1052, 359]}","{1: [1028, 334, 1052, 359]}","{1: [1028, 334, 1052, 359]}","{1: [1028.0, 334.0, 1052.0, 359.0]}","(1040, 346)",1040,346,8,-4,8.94
385,"{1: [1039, 333, 1062, 357]}","{1: [1039, 333, 1062, 357]}","{1: [1039, 333, 1062, 357]}","{1: [1039.0, 333.0, 1062.0, 357.0]}","(1050, 345)",1050,345,10,-1,10.05
386,"{1: [1048, 332, 1071, 356]}","{1: [1048, 332, 1071, 356]}","{1: [1048, 332, 1071, 356]}","{1: [1048.0, 332.0, 1071.0, 356.0]}","(1059, 344)",1059,344,9,-1,9.06
387,"{1: [1059, 333, 1078, 353]}","{1: [1059, 333, 1078, 353]}","{1: [1059, 333, 1078, 353]}","{1: [1059.0, 333.0, 1078.0, 353.0]}","(1068, 343)",1068,343,9,-1,9.06
388,"{1: [1065, 327, 1093, 359]}","{1: [1065, 327, 1093, 359]}","{1: [1065, 327, 1093, 359]}","{1: [1065.0, 327.0, 1093.0, 359.0]}","(1079, 343)",1079,343,11,0,11.0
389,"{1: [1074, 333, 1097, 357]}","{1: [1074, 333, 1097, 357]}","{1: [1074, 333, 1097, 357]}","{1: [1074.0, 333.0, 1097.0, 357.0]}","(1085, 345)",1085,345,6,2,6.32
390,"{1: [1081, 334, 1105, 360]}","{1: [1081, 334, 1105, 360]}","{1: [1081, 334, 1105, 360]}","{1: [1081.0, 334.0, 1105.0, 360.0]}","(1093, 347)",1093,347,8,2,8.25
391,"{1: [1086, 338, 1117, 366], 2: [1089, 338, 1112, 363]}","{1: [1089, 338, 1112, 363]}","{1: [1089, 338, 1112, 363]}","{1: [1089.0, 338.0, 1112.0, 363.0]}","(1100, 350)",1100,350,7,3,7.62
392,"{1: [1093, 327, 1118, 354]}","{1: [1093, 327, 1118, 354]}","{1: [1093, 327, 1118, 354]}","{1: [1093.0, 327.0, 1118.0, 354.0]}","(1105, 340)",1105,340,5,-10,11.18
393,"{1: [1099, 321, 1118, 340], 2: [703, 707, 720, 725]}","{1: [1099, 321, 1118, 340]}","{1: [1099, 321, 1118, 340]}","{1: [1099.0, 321.0, 1118.0, 340.0]}","(1108, 330)",1108,330,3,-10,10.44
394,"{1: [1103, 308, 1122, 329]}","{1: [1103, 308, 1122, 329]}","{1: [1103, 308, 1122, 329]}","{1: [1103.0, 308.0, 1122.0, 329.0]}","(1112, 318)",1112,318,4,-12,12.65
395,"{1: [1110, 302, 1123, 317]}","{1: [1110, 302, 1123, 317]}","{1: [1110, 302, 1123, 317]}","{1: [1110.0, 302.0, 1123.0, 317.0]}","(1116, 309)",1116,309,4,-9,9.85
396,{},{},{},"{1: [1080.0, 341.0, 1095.0, 357.0]}","(1087, 349)",1087,349,-29,40,49.41
397,{},{},{},"{1: [1052.0, 380.0, 1067.0, 397.0]}","(1059, 388)",1059,388,-28,39,48.01
398,{},{},{},"{1: [1025.0, 419.0, 1040.0, 436.0]}","(1032, 427)",1032,427,-27,39,47.43
399,{},{},{},"{1: [998.0, 457.0, 1013.0, 474.0]}","(1005, 465)",1005,465,-27,38,46.62
400,{},{},{},"{1: [972.0, 495.0, 987.0, 511.0]}","(979, 503)",979,503,-26,38,46.04
401,"{1: [775, 707, 792, 725]}","{1: [775, 707, 792, 725]}",{},"{1: [947.0, 531.0, 962.0, 547.0]}","(954, 539)",954,539,-25,36,43.83
402,{},{},{},"{1: [923.0, 566.0, 938.0, 582.0]}","(930, 574)",930,574,-24,35,42.44
403,{},{},{},"{1: [1130.0, 271.0, 1150.0, 291.0]}","(906, 607)",906,607,-24,33,40.8
404,{},{},{},"{1: [877.0, 631.0, 892.0, 647.0]}","(884, 639)",884,639,-22,32,38.83
405,{},{},{},"{1: [856.0, 661.0, 871.0, 677.0]}","(863, 669)",863,669,-21,30,36.62
406,{},{},{},"{1: [837.0, 688.0, 852.0, 704.0]}","(844, 696)",844,696,-19,27,33.02
407,"{1: [1037, 228, 1051, 245], 2: [823, 708, 840, 726]}","{1: [823, 708, 840, 726]}","{1: [823, 708, 840, 726]}","{1: [823.0, 708.0, 840.0, 726.0]}","(831, 717)",831,717,-13,21,24.7
408,{},{},{},"{1: [849.0, 636.0, 871.0, 658.0]}","(860, 647)",860,647,29,-70,75.77
409,{},{},{},"{1: [878.0, 569.0, 900.0, 591.0]}","(889, 580)",889,580,29,-67,73.01
410,{},{},{},"{1: [906.0, 504.0, 928.0, 527.0]}","(917, 515)",917,515,28,-65,70.77
411,{},{},{},"{1: [932.0, 443.0, 954.0, 465.0]}","(943, 454)",943,454,26,-61,66.31
412,{},{},{},"{1: [956.0, 386.0, 978.0, 408.0]}","(967, 397)",967,397,24,-57,61.85
413,{},{},{},"{1: [978.0, 334.0, 1000.0, 357.0]}","(989, 345)",989,345,22,-52,56.46
414,"{1: [994, 293, 1021, 320]}","{1: [994, 293, 1021, 320]}","{1: [994, 293, 1021, 320]}","{1: [994.0, 293.0, 1021.0, 320.0]}","(1007, 306)",1007,306,18,-39,42.95
415,"{1: [986, 307, 1002, 325]}","{1: [986, 307, 1002, 325]}","{1: [986, 307, 1002, 325]}","{1: [986.0, 307.0, 1002.0, 325.0]}","(994, 316)",994,316,-13,10,16.4
416,"{1: [971, 311, 998, 338], 2: [970, 309, 998, 345]}","{1: [971, 311, 998, 338]}","{1: [971, 311, 998, 338]}","{1: [971.0, 311.0, 998.0, 338.0]}","(984, 324)",984,324,-10,8,12.81
417,"{1: [963, 326, 977, 341]}","{1: [963, 326, 977, 341]}","{1: [963, 326, 977, 341]}","{1: [963.0, 326.0, 977.0, 341.0]}","(970, 333)",970,333,-14,9,16.64
418,"{1: [945, 327, 974, 358]}","{1: [945, 327, 974, 358]}","{1: [945, 327, 974, 358]}","{1: [945.0, 327.0, 974.0, 358.0]}","(959, 342)",959,342,-11,9,14.21
419,"{1: [934, 349, 953, 369]}","{1: [934, 349, 953, 369]}","{1: [934, 349, 953, 369]}","{1: [934.0, 349.0, 953.0, 369.0]}","(943, 359)",943,359,-16,17,23.35
420,"{1: [919, 357, 945, 384]}","{1: [919, 357, 945, 384]}","{1: [919, 357, 945, 384]}","{1: [919.0, 357.0, 945.0, 384.0]}","(932, 370)",932,370,-11,11,15.56
421,"{1: [914, 375, 931, 393]}","{1: [914, 375, 931, 393]}","{1: [914, 375, 931, 393]}","{1: [914.0, 375.0, 931.0, 393.0]}","(922, 384)",922,384,-10,14,17.2
422,{},{},{},"{1: [896.0, 397.0, 915.0, 417.0]}","(905, 407)",905,407,-17,23,28.6
423,{},{},{},"{1: [882.0, 419.0, 901.0, 440.0]}","(891, 429)",891,429,-14,22,26.08
424,{},{},{},"{1: [868.0, 440.0, 887.0, 460.0]}","(877, 450)",877,450,-14,21,25.24
425,{},{},{},"{1: [856.0, 459.0, 875.0, 479.0]}","(865, 469)",865,469,-12,19,22.47
426,"{1: [846, 473, 867, 496]}","{1: [846, 473, 867, 496]}","{1: [846, 473, 867, 496]}","{1: [846.0, 473.0, 867.0, 496.0]}","(856, 484)",856,484,-9,15,17.49
427,"{1: [836, 497, 855, 517]}","{1: [836, 497, 855, 517]}","{1: [836, 497, 855, 517]}","{1: [836.0, 497.0, 855.0, 517.0]}","(845, 507)",845,507,-11,23,25.5
428,"{1: [824, 522, 843, 542], 2: [817, 509, 853, 549]}","{1: [817, 509, 853, 549]}","{1: [817, 509, 853, 549]}","{1: [817.0, 509.0, 853.0, 549.0]}","(835, 529)",835,529,-10,22,24.17
429,"{1: [810, 549, 833, 573]}","{1: [810, 549, 833, 573]}","{1: [810, 549, 833, 573]}","{1: [810.0, 549.0, 833.0, 573.0]}","(821, 561)",821,561,-14,32,34.93
430,"{1: [799, 578, 819, 601], 2: [792, 575, 823, 607]}","{1: [799, 578, 819, 601]}","{1: [799, 578, 819, 601]}","{1: [799.0, 578.0, 819.0, 601.0]}","(809, 589)",809,589,-12,28,30.46
431,"{1: [787, 609, 807, 630]}","{1: [787, 609, 807, 630]}","{1: [787, 609, 807, 630]}","{1: [787.0, 609.0, 807.0, 630.0]}","(797, 619)",797,619,-12,30,32.31
432,"{1: [771, 645, 795, 670]}","{1: [771, 645, 795, 670]}","{1: [771, 645, 795, 670]}","{1: [771.0, 645.0, 795.0, 670.0]}","(783, 657)",783,657,-14,38,40.5
433,{},{},{},"{1: [759.0, 661.0, 784.0, 686.0]}","(771, 673)",771,673,-12,16,20.0
434,{},{},{},"{1: [750.0, 723.0, 770.0, 743.0]}","(761, 690)",761,690,-10,17,19.72
435,{},{},{},"{1: [739.0, 692.0, 763.0, 718.0]}","(751, 705)",751,705,-10,15,18.03
436,{},{},{},"{1: [730.0, 706.0, 755.0, 732.0]}","(742, 719)",742,719,-9,14,16.64
437,"{1: [724, 717, 749, 743]}","{1: [724, 717, 749, 743]}","{1: [724, 717, 749, 743]}","{1: [724.0, 717.0, 749.0, 743.0]}","(736, 730)",736,730,-6,11,12.53
438,"{1: [716, 718, 743, 748]}","{1: [716, 718, 743, 748]}","{1: [716, 718, 743, 748]}","{1: [716.0, 718.0, 743.0, 748.0]}","(729, 733)",729,733,-7,3,7.62
439,"{1: [712, 728, 733, 749]}","{1: [712, 728, 733, 749]}","{1: [712, 728, 733, 749]}","{1: [712.0, 728.0, 733.0, 749.0]}","(722, 738)",722,738,-7,5,8.6
440,"{1: [705, 733, 724, 753]}","{1: [705, 733, 724, 753]}","{1: [705, 733, 724, 753]}","{1: [705.0, 733.0, 724.0, 753.0]}","(714, 743)",714,743,-8,5,9.43
