frame,multi_ball_position,single_ball_position,clean_ball_position,complete_ball_position,centre_point,x,y,x_diff,y_diff,velocity
173,"{1: [1230, 718, 1252, 742]}","[1230, 718, 1252, 742]","[1230, 718, 1252, 742]","[1230, 718, 1252, 742]","(1241, 730)",1241,730,19,20,27.59
174,"{1: [1253, 741, 1272, 764]}","[1253, 741, 1272, 764]","[1253, 741, 1272, 764]","[1253, 741, 1272, 764]","(1262, 752)",1262,752,21,22,30.41
175,{},,,"(1213, 674, 1232, 696)","(1222, 685)",1222,685,-40,-67,78.03
176,{},,,"(1178, 614, 1197, 636)","(1187, 625)",1187,625,-35,-60,69.46
177,"{1: [1151, 569, 1171, 589]}","[1151, 569, 1171, 589]","[1151, 569, 1171, 589]","[1151, 569, 1171, 589]","(1161, 579)",1161,579,-26,-46,52.84
178,"{1: [1105, 500, 1126, 524]}","[1105, 500, 1126, 524]","[1105, 500, 1126, 524]","[1105, 500, 1126, 524]","(1115, 512)",1115,512,-46,-67,81.27
179,{},,,"(1074, 462, 1095, 485)","(1084, 473)",1084,473,-31,-39,49.82
180,{},,,"(1045, 426, 1066, 449)","(1055, 437)",1055,437,-29,-36,46.23
181,{},,,"(1020, 394, 1041, 417)","(1030, 405)",1030,405,-25,-32,40.61
182,"{1: [1001, 371, 1022, 392]}","[1001, 371, 1022, 392]","[1001, 371, 1022, 392]","[1001, 371, 1022, 392]","(1011, 381)",1011,381,-19,-24,30.61
183,"{1: [974, 346, 998, 370]}","[974, 346, 998, 370]","[974, 346, 998, 370]","[974, 346, 998, 370]","(986, 358)",986,358,-25,-23,33.97
184,"{1: [957, 332, 977, 354]}","[957, 332, 977, 354]","[957, 332, 977, 354]","[957, 332, 977, 354]","(967, 343)",967,343,-19,-15,24.21
185,"{1: [943, 322, 957, 338]}","[943, 322, 957, 338]","[943, 322, 957, 338]","[943, 322, 957, 338]","(950, 330)",950,330,-17,-13,21.4
186,"{1: [920, 308, 941, 331], 2: [915, 297, 949, 335]}","[920, 308, 941, 331]","[920, 308, 941, 331]","[920, 308, 941, 331]","(930, 319)",930,319,-20,-11,22.83
187,"{1: [905, 301, 926, 322]}","[905, 301, 926, 322]","[905, 301, 926, 322]","[905, 301, 926, 322]","(915, 311)",915,311,-15,-8,17.0
188,"{1: [894, 298, 908, 316]}","[894, 298, 908, 316]","[894, 298, 908, 316]","[894, 298, 908, 316]","(901, 307)",901,307,-14,-4,14.56
189,{},,,"(876, 296, 896, 317)","(886, 306)",886,306,-15,-1,15.03
190,{},,,"(862, 296, 883, 317)","(872, 306)",872,306,-14,0,14.0
191,{},,,"(850, 295, 870, 316)","(860, 305)",860,305,-12,-1,12.04
192,{},,,"(838, 295, 859, 316)","(848, 305)",848,305,-12,0,12.0
193,"{1: [827, 294, 854, 318]}","[827, 294, 854, 318]","[827, 294, 854, 318]","[827, 294, 854, 318]","(840, 306)",840,306,-8,1,8.06
194,"{1: [821, 305, 835, 320]}","[821, 305, 835, 320]","[821, 305, 835, 320]","[821, 305, 835, 320]","(828, 312)",828,312,-12,6,13.42
195,"{1: [808, 305, 830, 329]}","[808, 305, 830, 329]","[808, 305, 830, 329]","[808, 305, 830, 329]","(819, 317)",819,317,-9,5,10.3
196,"{1: [801, 305, 822, 326], 2: [797, 295, 829, 332]}","[797, 295, 829, 332]","[797, 295, 829, 332]","[797, 295, 829, 332]","(813, 313)",813,313,-6,-4,7.21
197,{},,,"(791, 278, 819, 309)","(805, 293)",805,293,-8,-20,21.54
198,{},,,"(785, 260, 813, 291)","(799, 275)",799,275,-6,-18,18.97
199,"{1: [782, 251, 806, 276]}","[782, 251, 806, 276]","[782, 251, 806, 276]","[782, 251, 806, 276]","(794, 263)",794,263,-5,-12,13.0
200,"{1: [774, 237, 798, 262]}","[774, 237, 798, 262]","[774, 237, 798, 262]","[774, 237, 798, 262]","(786, 249)",786,249,-8,-14,16.12
201,"{1: [775, 230, 788, 244]}","[775, 230, 788, 244]","[775, 230, 788, 244]","[775, 230, 788, 244]","(781, 237)",781,237,-5,-12,13.0
202,{},,,"(766, 216, 784, 236)","(775, 226)",775,226,-6,-11,12.53
