frame_num,near_player_serve_speed,near_player_number_of_shots,near_player_last_shot_speed,near_player_total_shot_speed,near_player_number_of_net_clearances,near_player_last_net_clearance,near_player_total_net_clearance,near_player_last_distance,near_player_total_distance,far_player_serve_speed,far_player_number_of_shots,far_player_last_shot_speed,far_player_total_shot_speed,far_player_number_of_net_clearances,far_player_last_net_clearance,far_player_total_net_clearance,far_player_last_distance,far_player_total_distance
125,0.0,2,133.55,236.09,1,0.95,0.95,0.04,7.65,142.56,1,75.31,75.31,1,2.15,2.15,0.0,19.56
126,0.0,2,133.55,236.09,1,0.95,0.95,0.0,7.65,142.56,1,75.31,75.31,1,2.15,2.15,0.04,19.6
127,0.0,2,133.55,236.09,2,0.98,1.93,0.0,7.65,142.56,1,75.31,75.31,1,2.15,2.15,0.14,19.74
128,0.0,2,133.55,236.09,2,0.98,1.93,0.0,7.65,142.56,1,75.31,75.31,1,2.15,2.15,0.12,19.86
129,0.0,2,133.55,236.09,2,0.98,1.93,0.08,7.73,142.56,1,75.31,75.31,1,2.15,2.15,0.12,19.98
130,0.0,2,133.55,236.09,2,0.98,1.93,0.09,7.82,142.56,1,75.31,75.31,1,2.15,2.15,0.23,20.21
131,0.0,2,133.55,236.09,2,0.98,1.93,0.14,7.96,142.56,1,75.31,75.31,1,2.15,2.15,0.23,20.44
132,0.0,2,133.55,236.09,2,0.98,1.93,0.17,8.13,142.56,1,75.31,75.31,1,2.15,2.15,0.21,20.65
133,0.0,2,133.55,236.09,2,0.98,1.93,0.21,8.34,142.56,1,75.31,75.31,1,2.15,2.15,0.17,20.82
134,0.0,2,133.55,236.09,2,0.98,1.93,0.17,8.51,142.56,1,75.31,75.31,1,2.15,2.15,0.12,20.94
135,0.0,2,133.55,236.09,2,0.98,1.93,0.09,8.6,142.56,1,75.31,75.31,1,2.15,2.15,0.16,21.1
136,0.0,2,133.55,236.09,2,0.98,1.93,0.17,8.77,142.56,1,75.31,75.31,1,2.15,2.15,0.23,21.33
137,0.0,2,133.55,236.09,2,0.98,1.93,0.12,8.89,142.56,1,75.31,75.31,1,2.15,2.15,0.23,21.56
138,0.0,2,133.55,236.09,2,0.98,1.93,0.09,8.98,142.56,1,75.31,75.31,1,2.15,2.15,0.23,21.79
139,0.0,2,133.55,236.09,2,0.98,1.93,0.08,9.06,142.56,1,75.31,75.31,1,2.15,2.15,0.12,21.91
140,0.0,2,133.55,236.09,2,0.98,1.93,0.12,9.18,142.56,1,75.31,75.31,1,2.15,2.15,0.17,22.08
141,0.0,2,133.55,236.09,2,0.98,1.93,0.12,9.3,142.56,1,75.31,75.31,1,2.15,2.15,0.09,22.17
142,0.0,2,133.55,236.09,2,0.98,1.93,0.04,9.34,142.56,1,75.31,75.31,1,2.15,2.15,0.08,22.25
143,0.0,2,133.55,236.09,2,0.98,1.93,0.17,9.51,142.56,1,75.31,75.31,1,2.15,2.15,0.23,22.48
144,0.0,2,133.55,236.09,2,0.98,1.93,0.16,9.67,142.56,2,114.23,189.54,1,2.15,2.15,0.19,22.67
145,0.0,2,133.55,236.09,2,0.98,1.93,0.16,9.83,142.56,2,114.23,189.54,1,2.15,2.15,0.23,22.9
146,0.0,2,133.55,236.09,2,0.98,1.93,0.19,10.02,142.56,2,114.23,189.54,1,2.15,2.15,0.16,23.06
147,0.0,2,133.55,236.09,2,0.98,1.93,0.14,10.16,142.56,2,114.23,189.54,1,2.15,2.15,0.21,23.27
148,0.0,2,133.55,236.09,2,0.98,1.93,0.14,10.3,142.56,2,114.23,189.54,1,2.15,2.15,0.19,23.46
149,0.0,2,133.55,236.09,2,0.98,1.93,0.22,10.52,142.56,2,114.23,189.54,1,2.15,2.15,0.19,23.65
150,0.0,2,133.55,236.09,2,0.98,1.93,0.23,10.75,142.56,2,114.23,189.54,1,2.15,2.15,0.21,23.86
151,0.0,2,133.55,236.09,2,0.98,1.93,0.19,10.94,142.56,2,114.23,189.54,1,2.15,2.15,0.12,23.98
152,0.0,2,133.55,236.09,2,0.98,1.93,0.16,11.1,142.56,2,114.23,189.54,1,2.15,2.15,0.12,24.1
153,0.0,2,133.55,236.09,2,0.98,1.93,0.14,11.24,142.56,2,114.23,189.54,1,2.15,2.15,0.08,24.18
