multi_ball_position,single_ball_position,clean_ball_position,complete_ball_position,frame,centre_point,x,y,x_diff,y_diff,velocity,velocity_vector,y_rolling_mean,y_rolling_mean_delta,velocity_vector_delta,velocity_rolling_mean,acceleration
"{1: [1178, 261, 1203, 289]}","{1: [1178, 261, 1203, 289]}","{1: [1178, 261, 1203, 289]}","{1: [1178.0, 261.0, 1203.0, 289.0]}",80,"(1190, 275)",1190,275,1,62,62.01,62.01,239.0,5.6,70.26,19.3,13.2
"{1: [1166, 266, 1190, 291]}","{1: [1166, 266, 1190, 291]}","{1: [1166, 266, 1190, 291]}","{1: [1166.0, 266.0, 1190.0, 291.0]}",81,"(1178, 278)",1178,278,-12,3,12.37,12.37,245.8,6.8,-49.64,21.2,3.11
"{1: [1158, 272, 1173, 291]}","{1: [1158, 272, 1173, 291]}","{1: [1158, 272, 1173, 291]}","{1: [1158.0, 272.0, 1173.0, 291.0]}",82,"(1165, 281)",1165,281,-13,3,13.34,13.34,253.6,7.8,0.97,23.4,3.12
{},{},{},"{1: [1137.0, 276.0, 1158.0, 298.0]}",83,"(1147, 287)",1147,287,-18,6,18.97,18.97,266.8,13.2,5.63,23.0,8.0
{},{},{},"{1: [1121.0, 282.0, 1141.0, 305.0]}",84,"(1131, 293)",1131,293,-16,6,17.09,17.09,282.8,16.0,-1.88,24.8,5.07
{},{},{},"{1: [1106.0, 288.0, 1127.0, 310.0]}",85,"(1116, 299)",1116,299,-15,6,16.16,16.16,287.6,4.8,-0.93,15.6,-9.17
"{1: [1093, 291, 1119, 317]}","{1: [1093, 291, 1119, 317]}","{1: [1093, 291, 1119, 317]}","{1: [1093.0, 291.0, 1119.0, 317.0]}",86,"(1106, 304)",1106,304,-10,5,11.18,11.18,292.8,5.2,-4.98,15.3,-0.24
"{1: [1084, 303, 1099, 319]}","{1: [1084, 303, 1099, 319]}","{1: [1084, 303, 1099, 319]}","{1: [1084.0, 303.0, 1099.0, 319.0]}",87,"(1091, 311)",1091,311,-15,7,16.55,16.55,298.8,6.0,5.37,16.0,0.64
"{1: [1065, 307, 1090, 332], 2: [1064, 301, 1093, 334]}","{1: [1065, 307, 1090, 332]}","{1: [1065, 307, 1090, 332]}","{1: [1065.0, 307.0, 1090.0, 332.0]}",88,"(1077, 319)",1077,319,-14,8,16.12,16.12,305.2,6.4,-0.43,15.4,-0.57
"{1: [1051, 317, 1071, 339]}","{1: [1051, 317, 1071, 339]}","{1: [1051, 317, 1071, 339]}","{1: [1051.0, 317.0, 1071.0, 339.0]}",89,"(1061, 328)",1061,328,-16,9,18.36,18.36,312.2,7.0,2.24,15.7,0.25
"{1: [1037, 330, 1054, 348]}","{1: [1037, 330, 1054, 348]}","{1: [1037, 330, 1054, 348]}","{1: [1037.0, 330.0, 1054.0, 348.0]}",90,"(1045, 339)",1045,339,-16,11,19.42,19.42,320.2,8.0,1.06,16.3,0.65
"{1: [1018, 337, 1045, 364]}","{1: [1018, 337, 1045, 364]}","{1: [1018, 337, 1045, 364]}","{1: [1018.0, 337.0, 1045.0, 364.0]}",91,"(1031, 350)",1031,350,-14,11,17.8,17.8,329.4,9.2,-1.62,17.6,1.32
"{1: [1007, 354, 1025, 373]}","{1: [1007, 354, 1025, 373]}","{1: [1007, 354, 1025, 373]}","{1: [1007.0, 354.0, 1025.0, 373.0]}",92,"(1016, 363)",1016,363,-15,13,19.85,19.85,339.8,10.4,2.05,18.3,0.66
"{1: [992, 370, 1007, 386]}","{1: [992, 370, 1007, 386]}","{1: [992, 370, 1007, 386]}","{1: [992.0, 370.0, 1007.0, 386.0]}",93,"(999, 378)",999,378,-17,15,22.67,22.67,351.6,11.8,2.82,19.6,1.31
{},{},{},"{1: [971.0, 390.0, 989.0, 410.0]}",94,"(980, 400)",980,400,-19,22,29.07,29.07,366.0,14.4,6.4,21.8,2.14
{},{},{},"{1: [953.0, 411.0, 971.0, 432.0]}",95,"(962, 421)",962,421,-18,21,27.66,27.66,382.4,16.4,-1.41,23.4,1.65
{},{},{},"{1: [936.0, 432.0, 954.0, 452.0]}",96,"(945, 442)",945,442,-17,21,27.02,27.02,400.8,18.4,-0.64,25.3,1.84
{},{},{},"{1: [920.0, 451.0, 938.0, 471.0]}",97,"(929, 461)",929,461,-16,19,24.84,24.84,420.4,19.6,-2.18,26.3,1.0
{},{},{},"{1: [905.0, 468.0, 924.0, 488.0]}",98,"(914, 478)",914,478,-15,17,22.67,22.67,440.4,20.0,-2.17,26.3,-0.0
"{1: [893, 480, 915, 505], 2: [888, 478, 916, 508]}","{1: [893, 480, 915, 505]}","{1: [893, 480, 915, 505]}","{1: [893.0, 480.0, 915.0, 505.0]}",99,"(904, 492)",904,492,-10,14,17.2,17.2,458.8,18.4,-5.47,23.9,-2.37
