frame_num,player_1_last_player_distance,player_1_total_player_distance,player_2_last_player_distance,player_2_total_player_distance,player_1_number_of_shots,player_1_last_shot_speed,player_1_total_shot_speed,player_2_number_of_shots,player_2_last_shot_speed,player_2_total_shot_speed
213,0.06,16.55,0.04,28.2,2,129.7,259.54999999999995,2,121.24,234.67000000000002
214,0.0,16.55,0.04,28.24,2,129.7,259.54999999999995,2,121.24,234.67000000000002
215,0.04,16.59,0.04,28.28,2,129.7,259.54999999999995,2,121.24,234.67000000000002
216,0.0,16.59,0.09,28.37,2,129.7,259.54999999999995,2,121.24,234.67000000000002
217,0.04,16.63,0.14,28.51,2,129.7,259.54999999999995,2,121.24,234.67000000000002
218,0.06,16.69,0.09,28.6,2,129.7,259.54999999999995,2,121.24,234.67000000000002
219,0.04,16.73,0.12,28.72,2,129.7,259.54999999999995,2,121.24,234.67000000000002
220,0.09,16.82,0.12,28.84,2,129.7,259.54999999999995,2,121.24,234.67000000000002
221,0.04,16.86,0.16,29.0,2,129.7,259.54999999999995,2,121.24,234.67000000000002
222,0.06,16.92,0.08,29.08,2,129.7,259.54999999999995,2,121.24,234.67000000000002
223,0.0,16.92,0.09,29.17,2,129.7,259.54999999999995,2,121.24,234.67000000000002
224,0.04,16.96,0.14,29.31,2,129.7,259.54999999999995,2,121.24,234.67000000000002
225,0.04,17.0,0.09,29.4,2,129.7,259.54999999999995,2,121.24,234.67000000000002
226,0.04,17.04,0.09,29.49,2,129.7,259.54999999999995,2,121.24,234.67000000000002
227,0.04,17.08,0.17,29.66,2,129.7,259.54999999999995,2,121.24,234.67000000000002
228,0.0,17.08,0.12,29.78,2,129.7,259.54999999999995,2,121.24,234.67000000000002
229,0.08,17.16,0.08,29.86,2,129.7,259.54999999999995,2,121.24,234.67000000000002
230,0.06,17.22,0.04,29.9,2,129.7,259.54999999999995,2,121.24,234.67000000000002
231,0.04,17.26,0.06,29.96,2,129.7,259.54999999999995,2,121.24,234.67000000000002
232,0.04,17.3,0.09,30.05,2,129.7,259.54999999999995,2,121.24,234.67000000000002
233,0.09,17.39,0.04,30.09,2,129.7,259.54999999999995,2,121.24,234.67000000000002
234,0.09,17.48,0.12,30.21,2,129.7,259.54999999999995,2,121.24,234.67000000000002
235,0.12,17.6,0.09,30.3,3,140.69,400.23999999999995,2,121.24,234.67000000000002
236,0.09,17.69,0.09,30.39,3,140.69,400.23999999999995,2,121.24,234.67000000000002
237,0.11,17.8,0.09,30.48,3,140.69,400.23999999999995,2,121.24,234.67000000000002
238,0.09,17.89,0.09,30.57,3,140.69,400.23999999999995,2,121.24,234.67000000000002
239,0.06,17.95,0.04,30.61,3,140.69,400.23999999999995,2,121.24,234.67000000000002
240,0.0,17.95,0.04,30.65,3,140.69,400.23999999999995,2,121.24,234.67000000000002
241,0.0,17.95,0.0,30.65,3,140.69,400.23999999999995,2,121.24,234.67000000000002
242,0.0,17.95,0.0,30.65,3,140.69,400.23999999999995,2,121.24,234.67000000000002
243,0.0,17.95,0.0,30.65,3,140.69,400.23999999999995,2,121.24,234.67000000000002
244,0.04,17.99,0.0,30.65,3,140.69,400.23999999999995,2,121.24,234.67000000000002
245,0.06,18.05,0.0,30.65,3,140.69,400.23999999999995,2,121.24,234.67000000000002
246,0.04,18.09,0.04,30.69,3,140.69,400.23999999999995,2,121.24,234.67000000000002
247,0.0,18.09,0.08,30.77,3,140.69,400.23999999999995,2,121.24,234.67000000000002
248,0.04,18.13,0.12,30.89,3,140.69,400.23999999999995,2,121.24,234.67000000000002
