ball_position,frame
"{1: (124, 625, 1.42, 26.71)}",522
"{1: (125, 599, 1.48, 26.08)}",523
"{1: (127, 572, 1.53, 25.47)}",524
"{1: (128, 547, 1.57, 24.9)}",525
"{1: (129, 522, 1.59, 24.35)}",526
"{1: (130, 497, 1.59, 23.83)}",527
"{1: (131, 473, 1.57, 23.35)}",528
"{1: (132, 450, 1.55, 22.88)}",529
"{1: (134, 427, 1.5, 22.45)}",530
"{1: (135, 404, 1.44, 22.04)}",531
"{1: (136, 382, 1.37, 21.65)}",532
"{1: (137, 360, 1.27, 21.29)}",533
"{1: (138, 339, 1.17, 20.95)}",534
"{1: (139, 318, 1.05, 20.63)}",535
"{1: (140, 297, 0.91, 20.33)}",536
"{1: (141, 277, 0.76, 20.06)}",537
"{1: (142, 257, 0.59, 19.81)}",538
"{1: (143, 237, 0.4, 19.57)}",539
"{1: (144, 218, 0.21, 19.36)}",540
"{1: (145, 199, -0.01, 19.17)}",541
"{1: (146, 181)}",542
"{1: (146, 170)}",543
"{1: (146, 160)}",544
"{1: (147, 150)}",545
"{1: (147, 140)}",546
"{1: (148, 130)}",547
"{1: (148, 120)}",548
"{1: (149, 110)}",549
"{1: (149, 100)}",550
"{1: (150, 91, 0.9, 34.0)}",551
"{1: (146, 125, 0.99, 33.08)}",552
"{1: (143, 158, 1.06, 32.13)}",553
"{1: (140, 190, 1.11, 31.23)}",554
"{1: (137, 222, 1.15, 30.38)}",555
"{1: (135, 252, 1.17, 29.57)}",556
"{1: (132, 282, 1.18, 28.82)}",557
"{1: (129, 311, 1.17, 28.1)}",558
"{1: (127, 339, 1.15, 27.43)}",559
"{1: (124, 367, 1.11, 26.79)}",560
"{1: (122, 394, 1.05, 26.19)}",561
"{1: (119, 420, 0.98, 25.63)}",562
"{1: (117, 446, 0.89, 25.1)}",563
"{1: (114, 472, 0.79, 24.6)}",564
"{1: (112, 496, 0.68, 24.13)}",565
"{1: (110, 520, 0.54, 23.68)}",566
"{1: (108, 544, 0.39, 23.27)}",567
"{1: (106, 567, 0.23, 22.89)}",568
"{1: (104, 590, 0.05, 22.53)}",569
"{1: (104, 623)}",570
"{1: (99, 627)}",571
"{1: (96, 633)}",572
"{1: (92, 639)}",573
"{1: (89, 643)}",574
"{1: (87, 646)}",575
"{1: (85, 658)}",576
"{1: (82, 666)}",577
"{1: (80, 679)}",578
"{1: (77, 692)}",579
"{1: (75, 705)}",580
"{1: (74, 724)}",581
"{1: (74, 739)}",582
"{1: (73, 764)}",583
"{1: (72, 785)}",584
"{1: (72, 800)}",585
"{1: (72, 814)}",586
"{1: (72, 814)}",587
"{1: (72, 814)}",588
"{1: (72, 814)}",589
"{1: (72, 814)}",590
