single_centre_point,clean_centre_point,complete_centre_point,velocity_vector,velocity,velocity_delta,frame
"(914, 367)","(914, 367)","(914, 367)",26,26,4.0,215
,,"(931, 403)",39,39,13.0,216
,,"(947, 438)",38,38,-1.0,217
,,"(963, 471)",36,36,-2.0,218
,,"(977, 501)",33,33,-3.0,219
"(988, 524)","(988, 524)","(988, 524)",25,25,-8.0,220
"(1005, 563)","(1005, 563)","(1005, 563)",42,42,17.0,221
"(1020, 606)","(1020, 606)","(1020, 606)",45,45,3.0,222
"(1037, 641)","(1037, 641)","(1037, 641)",38,38,-7.0,223
"(1054, 640)","(1054, 640)","(1054, 640)",-17,17,-55.0,224
"(1069, 643)","(1069, 643)","(1069, 643)",15,15,32.0,225
"(1083, 646)","(1083, 646)","(1083, 646)",14,14,-1.0,226
"(1098, 656)","(1098, 656)","(1098, 656)",18,18,4.0,227
"(1115, 666)","(1115, 666)","(1115, 666)",19,19,1.0,228
"(1130, 677)","(1130, 677)","(1130, 677)",18,18,-1.0,229
"(1148, 691)","(1148, 691)","(1148, 691)",22,22,4.0,230
"(1164, 709)","(1164, 709)","(1164, 709)",24,24,2.0,231
"(1178, 730)","(1178, 730)","(1178, 730)",25,25,1.0,232
"(1201, 758)","(1201, 758)","(1201, 758)",36,36,11.0,233
,,"(1207, 765)",9,9,-27.0,234
"(1212, 771)","(1212, 771)","(1212, 771)",7,7,-2.0,235
"(1025, 716)",,"(1164, 687)",-96,96,-103.0,236
"(1121, 607)",,"(1121, 611)",-87,87,9.0,237
"(1088, 553)","(1088, 553)","(1088, 553)",-66,66,21.0,238
"(1057, 504)","(1057, 504)","(1057, 504)",-57,57,9.0,239
,,"(1033, 473)",-39,39,18.0,240
,,"(1010, 445)",-36,36,3.0,241
,,"(988, 417)",-35,35,1.0,242
,,"(968, 391)",-32,32,3.0,243
,,"(950, 368)",-29,29,3.0,244
"(936, 351)","(936, 351)","(936, 351)",-22,22,7.0,245
"(918, 339)","(918, 339)","(918, 339)",-21,21,1.0,246
"(909, 329)","(909, 329)","(909, 329)",-13,13,8.0,247
"(892, 322)","(892, 322)","(892, 322)",-18,18,-5.0,248
"(881, 318)","(881, 318)","(881, 318)",-11,11,7.0,249
"(870, 316)","(870, 316)","(870, 316)",-11,11,0.0,250
"(859, 314)","(859, 314)","(859, 314)",-11,11,0.0,251
"(850, 315)","(850, 315)","(850, 315)",9,9,20.0,252
"(842, 316)","(842, 316)","(842, 316)",8,8,-1.0,253
"(833, 318)","(833, 318)","(833, 318)",9,9,1.0,254
"(825, 321)","(825, 321)","(825, 321)",8,8,-1.0,255
"(818, 318)","(818, 318)","(818, 318)",-7,7,-15.0,256
,,"(811, 299)",-20,20,-13.0,257
,,"(805, 282)",-18,18,2.0,258
,,"(799, 266)",-17,17,1.0,259
"(795, 255)","(795, 255)","(795, 255)",-11,11,6.0,260
"(793, 241)","(793, 241)","(793, 241)",-14,14,-3.0,261
"(787, 233)","(787, 233)","(787, 233)",-10,10,4.0,262
"(782, 223)","(782, 223)","(782, 223)",-11,11,-1.0,263
"(783, 220)","(783, 220)","(783, 220)",-3,3,8.0,264
,,"(793, 233)",16,16,19.0,265
,,"(803, 245)",15,15,-1.0,266
,,"(813, 258)",16,16,1.0,267
,,"(823, 270)",15,15,-1.0,268
